0.46546	0.4955	0.53517	0.47325
0.47566	0.5267	0.55302	0.47984
0.49247	0.55254	0.51853	0.48344
0.52408	0.54523	0.46225	0.47027
0.58803	0.47051	0.36813	0.38165
-0.2565	-0.13201	0.14505	0.040293
1.0443	0.98922	0.79295	0.9329
0.49228	0.50189	0.30088	0.36289
0.58657	0.54562	0.32146	0.45626
-0.062885	-0.10436	0.092903	0.096755
1.5551	1.1849	0.76887	0.97445
0.24028	-0.52857	-0.054707	0.17317
0.39596	0.55196	0.49723	0.48099
0.43496	0.4366	0.44357	0.45048
0.43644	0.42735	0.39815	0.469
0.43709	0.4282	0.39615	0.49816
0.43779	0.42867	0.40696	0.49204
0.43857	0.42924	0.41828	0.48188
0.43946	0.42998	0.42684	0.47353
0.44048	0.43096	0.43245	0.46685
0.44166	0.43225	0.43577	0.46047
0.44306	0.43399	0.43749	0.45498
0.44473	0.43644	0.43808	0.45148
0.44676	0.43995	0.43786	0.45024
0.4493	0.44516	0.43694	0.45108
0.45255	0.45322	0.43527	0.4538
0.45685	0.466	0.43263	0.45826
0.46282	0.48629	0.42847	0.46428
0.47158	0.51547	0.42172	0.47138
0.48555	0.54556	0.40995	0.4777
0.5105	0.55471	0.38718	0.47539
0.56199	0.49793	0.33558	0.43044
-0.21219	0.27855	0.19005	0.20611
0.52097	0.68473	0.84584	0.91221
1.4064	0.47743	0.70629	0.61045
-0.59455	0.19633	-0.24058	-0.38533
2.6942	2.0413	2.5499	2.6145
-0.81525	-0.73986	-0.78771	-0.83393
2.9111	2.7816	2.9139	2.9302
-0.66988	-0.27764	-0.67066	-0.65793
1.6061	2.3037	1.7192	1.5388
0.51564	-0.74843	0.12712	0.14661
0.4981	0.48757	-0.047517	0.22216
0.58012	0.53151	0.059045	0.07675
-0.24281	0.031824	-0.075001	0.075729
0.9338	0.6312	0.83958	0.64495
0.35874	0.58776	0.2023	0.41304
0.49603	0.16018	0.458	0.46921
0.53545	0.53704	0.40699	0.3906
0.59179	0.42682	0.29785	0.2943
-0.24322	-0.19229	0.081837	0.028662
0.55567	0.64004	0.87627	0.89299
1.3946	0.312	0.72334	0.58953
-0.58895	0.24518	-0.3078	-0.41367
2.5846	2.0402	2.4937	2.5926
-0.83274	-0.67318	-0.75164	-0.78651
3.044	2.7361	3.0756	3.0455
-0.73319	-0.66779	-0.6502	-0.71645
1.7676	2.3519	1.8809	1.7089
-0.38472	0.0092632	-0.12615	-0.11191
0.89235	1.5965	1.1386	1.0295
0.18515	0.47594	0.18585	0.42352
0.44845	0.20315	0.46396	0.46052
0.4606	0.4503	0.4334	0.4578
0.46845	0.50499	0.41248	0.39173
0.48041	0.53721	0.40243	0.39636
0.50093	0.55595	0.3878	0.41823
0.54156	0.5234	0.35228	0.39171
0.56355	0.39003	0.2519	0.29979
0.57626	0.26825	0.13882	0.13786
-0.24956	0.10998	0.036843	-0.032637
0.93929	0.80317	0.88742	0.80229
0.36428	0.57497	0.26785	0.38668
0.49946	0.18382	0.49297	0.52019
0.54244	0.52764	0.42277	0.38923
0.55446	0.38449	0.29126	0.27783
0.55475	0.31777	0.18681	0.074492
-0.21916	0.31638	0.12853	0.014357
0.547	0.55153	0.87309	0.78208
1.5262	0.35658	0.7139	0.55024
-0.63699	-0.57124	-0.4521	-0.67757
2.8489	2.6473	2.8318	3.0109
-0.80534	-0.49271	-0.79303	-0.80129
2.7337	2.7992	2.7259	2.6698
-0.59488	-0.43786	-0.70169	-0.5227
1.4136	2.0416	1.4556	1.3996
0.50461	0.15238	0.39977	0.41645
-0.099018	0.51281	0.19033	0.23852
1.2757	1.068	0.9112	0.59826
0.16889	0.029351	0.13553	0.3062
0.39612	0.45247	0.65728	0.44426
0.42856	0.43691	0.51948	0.5525
0.42956	0.4269	0.44402	0.42226
0.42977	0.42666	0.42351	0.42804
0.42997	0.42662	0.42307	0.46731
0.43016	0.42659	0.42784	0.45562
0.43036	0.42657	0.43276	0.43232
0.43057	0.42655	0.4365	0.42412
0.43078	0.42653	0.43902	0.42013
0.43099	0.42652	0.44062	0.41545
0.43122	0.42651	0.44159	0.41335
0.43145	0.42651	0.44217	0.41376
0.43169	0.42651	0.44251	0.41521
0.43195	0.42652	0.44271	0.41709
0.43221	0.42654	0.44282	0.41921
0.43249	0.42656	0.44288	0.42148
0.43279	0.4266	0.44292	0.42384
0.43309	0.42665	0.44293	0.42617
0.43342	0.42671	0.44293	0.42836
0.43378	0.42679	0.44292	0.43029
0.43415	0.4269	0.4429	0.43191
0.43456	0.42702	0.44287	0.43323
